day,S,E,I,R
1,19965,6,27,2
2,19937,22,33,8
3,19909,37,41,13
4,19877,49,55,19
5,19835,65,75,25
6,19766,97,98,39
7,19693,121,134,52
8,19560,184,181,75
9,19412,239,247,102
10,19228,302,334,136
11,18951,401,466,182
12,18635,535,584,246
13,18206,649,814,331
14,17608,905,1049,438
15,16914,1125,1371,590
16,16030,1474,1741,755
17,14966,1785,2261,988
18,13665,2183,2843,1309
19,12208,2657,3468,1667
20,10728,3037,4138,2097
21,9128,3297,4931,2644
22,7532,3540,5612,3316
23,6054,3582,6330,4034
24,4733,3480,6894,4893
25,3600,3296,7283,5821
26,2719,2980,7572,6729
27,2037,2663,7606,7694
28,1530,2278,7518,8674
29,1190,1901,7216,9693
30,924,1575,6916,10585
31,759,1253,6522,11466
32,602,1054,6060,12284
33,537,789,5557,13117
34,489,631,5065,13815
35,445,508,4585,14462
36,405,411,4185,14999
37,387,346,3742,15525
38,405,281,3335,15979
39,414,224,3001,16361
40,434,190,2682,16694
41,452,168,2359,17021
42,483,123,2133,17261
43,503,119,1946,17432
44,543,102,1726,17629
45,560,99,1528,17813
46,592,92,1360,17956
47,629,82,1195,18094
48,669,77,1052,18202
49,714,73,956,18257
50,769,64,854,18313
51,805,59,757,18379
52,830,61,664,18445
53,880,58,613,18449
54,936,60,547,18457
55,991,57,487,18465
56,1039,54,428,18479
57,1085,47,395,18473
58,1127,41,343,18489
59,1193,38,307,18462
60,1257,45,269,18429
61,1317,37,259,18387
62,1373,39,240,18348
63,1413,38,206,18343
64,1468,36,184,18312
65,1525,32,167,18276
66,1568,29,159,18244
67,1624,28,144,18204
68,1670,29,128,18173
69,1727,26,118,18129
70,1775,14,117,18094
71,1830,17,104,18049
72,1887,13,98,18002
73,1954,10,79,17957
74,2023,9,75,17893
75,2079,8,70,17843
76,2131,12,69,17788
77,2188,10,66,17736
78,2237,14,64,17685
79,2267,16,62,17655
80,2318,20,56,17606
81,2370,20,52,17558
82,2420,18,54,17508
83,2471,14,58,17457
84,2539,13,51,17397
85,2593,15,45,17347
86,2658,18,41,17283
87,2719,17,36,17228
88,2769,15,37,17179
89,2813,14,30,17143
90,2859,11,31,17099
91,2906,11,31,17052
92,2953,9,29,17009
93,3002,10,27,16961
94,3059,11,23,16907
95,3105,8,24,16863
96,3168,7,24,16801
97,3214,6,25,16755
98,3272,4,21,16703
99,3321,4,24,16651
100,3364,5,26,16605
101,3418,7,24,16551
102,3459,10,21,16510
103,3515,12,19,16454
104,3563,16,19,16402
105,3627,16,20,16337
106,3673,15,25,16287
107,3737,12,29,16222
108,3781,6,30,16183
109,3837,6,25,16132
110,3880,7,23,16090
111,3925,5,26,16044
112,3956,4,25,16015
113,3992,2,25,15981
114,4035,6,25,15934
115,4076,6,25,15893
116,4135,8,25,15832
117,4170,10,24,15796
118,4224,7,25,15744
119,4260,9,26,15705
120,4307,7,29,15657
121,4342,6,24,15628
122,4383,8,24,15585
123,4421,15,23,15541
124,4470,10,28,15492
125,4510,10,28,15452
126,4536,12,30,15422
127,4558,21,27,15394
128,4599,21,32,15348
129,4637,20,32,15311
130,4679,20,30,15271
131,4709,18,35,15238
132,4753,15,41,15191
133,4793,18,43,15146
134,4841,16,49,15094
135,4868,23,46,15063
136,4911,26,47,15016
137,4940,26,53,14981
138,4972,21,57,14950
139,5013,23,58,14906
140,5056,28,58,14858
141,5084,30,56,14830
142,5124,37,53,14786
143,5154,37,61,14748
144,5190,32,70,14708
145,5219,33,74,14674
146,5246,32,84,14638
147,5275,44,86,14595
148,5287,47,97,14569
149,5316,49,97,14538
150,5333,50,105,14512
151,5358,49,115,14478
152,5374,47,136,14443
153,5386,62,128,14424
154,5405,57,142,14396
155,5434,50,144,14372
156,5440,58,143,14359
157,5445,63,149,14343
158,5456,64,166,14314
159,5466,68,170,14296
160,5473,68,179,14280
161,5463,86,180,14271
162,5457,89,189,14265
163,5462,84,202,14252
164,5459,84,207,14250
165,5445,100,209,14246
166,5448,92,240,14220
167,5438,97,252,14213
168,5430,107,260,14203
169,5422,110,273,14195
170,5416,127,268,14189
171,5394,139,274,14193
172,5374,140,294,14192
173,5350,153,307,14190
174,5327,156,323,14194
175,5304,161,339,14196
176,5296,151,357,14196
177,5273,164,387,14176
178,5258,152,410,14180
179,5216,173,419,14192
180,5172,190,443,14195
181,5128,212,448,14212
182,5101,210,495,14194
183,5067,205,522,14206
184,5007,216,547,14230
185,4949,224,567,14260
186,4870,254,575,14301
187,4815,257,604,14324
188,4743,270,626,14361
189,4679,263,654,14404
190,4623,263,663,14451
191,4544,272,681,14503
192,4468,271,729,14532
193,4382,293,730,14595
194,4306,304,768,14622
195,4244,323,776,14657
196,4188,306,804,14702
197,4123,305,834,14738
198,4062,315,822,14801
199,3986,323,824,14867
200,3922,313,847,14918
201,3837,315,871,14977
202,3767,308,891,15034
203,3683,340,876,15101
204,3622,344,876,15158
205,3541,322,904,15233
206,3495,300,912,15293
207,3440,294,900,15366
208,3376,302,884,15438
209,3325,305,900,15470
210,3273,293,907,15527
211,3239,276,891,15594
212,3191,280,868,15661
213,3153,273,883,15691
214,3125,255,889,15731
215,3101,240,910,15749
216,3076,243,877,15804
217,3050,241,836,15873
218,3018,233,823,15926
219,2989,232,816,15963
220,2976,223,800,16001
221,2966,217,775,16042
222,2946,215,772,16067
223,2936,232,753,16079
224,2929,217,760,16094
225,2920,229,724,16127
226,2906,238,700,16156
227,2908,221,698,16173
228,2923,221,683,16173
229,2908,242,645,16205
230,2923,219,642,16216
231,2931,206,635,16228
232,2946,194,614,16246
233,2952,182,621,16245
234,2965,184,594,16257
235,2989,173,574,16264
236,3007,175,564,16254
237,3039,164,565,16232
238,3064,164,536,16236
239,3083,155,531,16231
240,3080,176,521,16223
241,3100,162,524,16214
242,3124,166,523,16187
243,3158,152,531,16159
244,3182,149,517,16152
245,3216,147,502,16135
246,3231,151,488,16130
247,3266,139,486,16109
248,3286,139,485,16090
249,3303,147,471,16079
250,3329,139,464,16068
251,3347,130,453,16070
252,3390,123,446,16041
253,3426,118,456,16000
254,3446,122,438,15994
255,3489,125,421,15965
256,3516,124,406,15954
257,3557,126,399,15918
258,3608,117,407,15868
259,3648,125,404,15823
260,3674,131,408,15787
261,3713,134,408,15745
262,3760,139,404,15697
263,3784,152,388,15676
264,3814,147,379,15660
265,3852,144,390,15614
266,3892,135,385,15588
267,3906,143,381,15570
268,3936,127,395,15542
269,3959,142,387,15512
270,3973,145,388,15494
271,4004,154,382,15460
272,4015,160,373,15452
273,4037,172,367,15424
274,4090,156,385,15369
275,4132,153,400,15315
276,4194,139,411,15256
277,4204,138,439,15219
278,4200,158,449,15193
279,4261,156,439,15144
280,4258,177,458,15107
281,4283,163,479,15075
282,4270,178,485,15067
283,4287,167,478,15068
284,4278,184,495,15043
285,4297,173,518,15012
286,4294,188,523,14995
287,4279,211,523,14987
288,4290,212,533,14965
289,4262,220,559,14959
290,4247,232,549,14972
291,4241,219,564,14976
292,4254,205,588,14953
293,4237,216,588,14959
294,4250,223,576,14951
295,4229,237,597,14937
296,4226,237,608,14929
297,4203,257,625,14915
298,4206,260,633,14901
299,4189,242,669,14900
300,4170,249,666,14915
301,4171,258,658,14913
302,4136,270,667,14927
303,4101,274,701,14924
304,4074,267,720,14939
305,4088,251,737,14924
306,4090,235,756,14919
307,4060,259,745,14936
308,4049,266,727,14958
309,4032,286,721,14961
310,4014,290,715,14981
311,3974,294,734,14998
312,3938,305,730,15027
313,3907,285,797,15011
314,3893,292,796,15019
315,3849,309,820,15022
316,3819,299,844,15038
317,3770,306,834,15090
318,3736,293,852,15119
319,3708,306,861,15125
320,3687,306,861,15146
321,3658,311,862,15169
322,3628,310,872,15190
323,3611,310,879,15200
324,3576,305,909,15210
325,3561,295,920,15224
326,3525,305,916,15254
327,3492,302,909,15297
328,3474,291,914,15321
329,3447,299,889,15365
330,3430,294,889,15387
331,3412,302,871,15415
332,3392,291,874,15443
333,3379,292,846,15483
334,3371,278,820,15531
335,3364,276,816,15544
336,3384,264,817,15535
337,3363,274,798,15565
338,3350,283,765,15602
339,3347,279,783,15591
340,3338,265,803,15594
341,3333,265,793,15609
342,3319,266,769,15646
343,3311,262,774,15653
344,3331,248,772,15649
345,3338,217,772,15673
346,3344,215,753,15688
347,3367,225,728,15680
348,3368,226,713,15693
349,3366,218,700,15716
350,3381,214,668,15737
351,3396,203,657,15744
352,3410,214,642,15734
353,3420,209,632,15739
354,3424,208,617,15751
355,3447,209,600,15744
356,3494,188,606,15712
357,3532,191,612,15665
358,3556,199,593,15652
359,3556,211,592,15641
360,3578,203,604,15615
361,3610,214,603,15573
362,3609,222,592,15577
