day,S,E,I,R
1,198270,1116,594,20
2,193769,4015,2120,96
3,178152,14023,7449,376
4,132964,42604,23019,1413
5,53679,87138,54720,4463
6,6205,96504,85438,11853
7,243,73358,103251,23148
8,71,52953,110086,36890
9,109,37891,110600,51400
10,147,27192,106860,65801
11,210,19475,100560,79755
12,249,14044,92677,93030
13,294,10192,84390,105124
14,354,7405,76314,115927
15,413,5465,68361,125761
16,468,4093,60706,134733
17,506,3123,54075,142296
18,567,2409,47935,149089
19,637,1935,42352,155076
20,759,1636,37392,160213
21,774,1438,33121,164667
22,876,1326,29154,168644
23,998,1255,25741,172006
24,1084,1252,22814,174850
25,1165,1285,20281,177269
26,1253,1246,18065,179436
27,1307,1229,16062,181402
28,1547,1218,14324,182911
29,1648,1254,12834,184264
30,1817,1238,11548,185397
31,2025,1226,10466,186283
32,2260,1264,9518,186958
33,2371,1309,8631,187689
34,2517,1349,7944,188190
35,2744,1349,7328,188579
36,3001,1332,6813,188854
37,3249,1303,6391,189057
38,3409,1402,6024,189165
39,3635,1463,5733,189169
40,3811,1483,5493,189213
41,4042,1485,5284,189189
42,4223,1555,5083,189139
43,4355,1594,4993,189058
44,4474,1610,4938,188978
45,4644,1651,4871,188834
46,4755,1684,4791,188770
47,4878,1774,4717,188631
48,5007,1798,4730,188465
49,5073,1806,4770,188351
50,5171,1816,4884,188129
51,5234,1841,4902,188023
52,5336,1843,4993,187828
53,5324,1920,5089,187667
54,5377,2032,5094,187497
55,5406,2088,5152,187354
56,5409,2094,5290,187207
57,5403,2127,5376,187094
58,5332,2147,5518,187003
59,5302,2217,5637,186844
60,5261,2238,5688,186813
61,5329,2264,5783,186624
62,5293,2295,5912,186500
63,5171,2342,6054,186433
64,5093,2394,6110,186403
65,5016,2407,6149,186428
66,4995,2391,6235,186379
67,4922,2384,6332,186362
68,4977,2443,6306,186274
69,4913,2510,6365,186212
70,4900,2464,6432,186204
71,4919,2520,6417,186144
72,4894,2540,6506,186060
73,4926,2505,6626,185943
74,4951,2524,6710,185815
75,4972,2470,6835,185723
76,4933,2557,6796,185714
77,4916,2573,6870,185641
78,4974,2559,6869,185598
79,5006,2530,6889,185575
80,4975,2559,6968,185498
81,5006,2609,7004,185381
82,4998,2654,7000,185348
83,4946,2722,7073,185259
84,4972,2731,7136,185161
85,4972,2730,7223,185075
86,4841,2749,7229,185181
87,4923,2776,7228,185073
88,4976,2758,7347,184919
89,4941,2749,7415,184895
90,4958,2717,7561,184764
91,4971,2728,7608,184693
92,4994,2731,7662,184613
93,4932,2778,7691,184599
94,4875,2839,7687,184599
95,4862,2808,7668,184662
96,4790,2886,7588,184736
97,4901,2842,7622,184635
98,4858,2798,7761,184583
99,4869,2810,7771,184550
100,4852,2832,7797,184519
101,4874,2806,7837,184483
102,4898,2803,7926,184373
103,4873,2949,7832,184346
104,4810,2996,7891,184303
105,4928,2950,7967,184155
106,4904,2976,8070,184050
107,4910,2981,8142,183967
108,4850,3039,8261,183850
109,4787,3073,8309,183831
110,4883,3011,8350,183756
111,4727,3127,8413,183733
112,4801,3052,8434,183713
113,4783,3037,8471,183709
114,4731,3141,8433,183695
115,4690,3128,8477,183705
116,4736,3111,8475,183678
117,4729,3093,8542,183636
118,4651,3101,8642,183606
119,4660,3072,8752,183516
120,4652,3080,8733,183535
121,4669,3088,8677,183566
122,4688,3040,8667,183605
123,4725,3088,8621,183566
124,4687,3104,8728,183481
125,4659,3119,8766,183456
126,4731,3086,8810,183373
127,4695,3123,8772,183410
128,4706,3104,8802,183388
129,4605,3138,8809,183448
130,4599,3181,8755,183465
131,4671,3173,8772,183384
132,4740,3115,8733,183412
133,4718,3137,8721,183424
134,4709,3163,8754,183374
135,4714,3148,8778,183360
136,4735,3141,8818,183306
137,4732,3145,8797,183326
138,4711,3144,8781,183364
139,4814,3129,8762,183295
140,4808,3104,8906,183182
141,4741,3116,8931,183212
142,4726,3125,8924,183225
143,4789,3120,8925,183166
144,4770,3170,8933,183127
145,4729,3236,9023,183012
146,4778,3234,9005,182983
147,4797,3194,8993,183016
